201802|1.06|4.9|
201801|1.2|5.53|
201712|1.16|5.37|
201711|1.04|4.8|
201710|1.03|4.72|
201709|1.22|5.58|
201708|1.03|4.72|
201707|0.89|4.09|
201706|1.28|5.89|
201705|1.14|5.22|
201704|1.05|4.84|
201703|1.51|6.93|
201702|1.6|7.35|
201701|1.3|6.03|
201612|1.29|6.04|
201611|1.37|6.21|
201610|1.21|5.47|
201609|1.12|5.19|
201608|1.08|4.98|
201607|0.26|1.12|
201606|0.83|3.8|
201605|1.6|7.41|
201604|0.99|4.54|
201603|0.75|3.44|
201602|1.11|5.08|
201601|1.23|5.66|
201512|0.76|3.51|
201511|1.27|5.86|
201510|1.19|5.45|
201509|1.04|4.69|
201508|1.07|4.95|
201507|1.06|4.91|
201506|1.11|5.06|
201505|1.67|7.67|
201504|0.79|3.64|
201503|1.73|8.01|
201502|0.84|3.89|
201501|0.0|0.0|
201412|0.07|0.31|
201411|1.22|5.59|
201410|2.4|11.05|
201409|0.74|3.4|
201408|0.0|0.0|
201407|0.0|0.0|
201406|1.31|6.01|
201405|2.42|11.12|
201404|0.42|1.94|
201403|0.6|2.8|
201402|0.46|2.12|
201401|1.21|5.55|
201312|1.5|6.9|
201311|0.75|3.5|
201310|0.4|1.86|
201309|1.48|6.78|
201308|1.57|7.23|
201307|1.15|5.32|
201306|1.38|6.35|
201305|1.61|7.4|
201304|0.11|0.51|
201303|0.31|1.45|
201302|1.04|4.8|
201301|1.44|6.61|
201212|1.13|5.18|
201211|0.49|2.26|
201210|1.03|4.79|
201209|1.43|6.59|
201208|1.0|4.57|
201207|0.72|3.3|
201206|1.06|4.9|
201205|1.35|6.23|
201204|0.72|3.3|
201203|0.97|4.48|
201202|1.34|6.18|
201201|0.28|1.23|
201112|0.2|0.92|
201111|1.02|4.75|
201110|1.22|5.6|
201109|0.88|4.02|
201108|0.98|4.52|
201107|1.35|6.22|
201106|1.35|6.19|
201105|0.9|4.12|
201104|0.97|4.48|
201103|1.26|5.81|
201102|1.29|5.92|
201101|1.06|4.86|
201012|1.17|5.4|
201011|1.29|5.95|
201010|0.96|4.44|
201009|1.02|4.7|
201008|1.15|5.29|
201007|1.02|4.68|
201006|0.98|4.51|
201005|1.01|4.66|
201004|1.1|5.54|
201003|1.55|6.99|
201002|1.16|5.36|
201001|1.39|6.41|
200912|1.23|5.67|
200911|1.29|5.94|
200910|1.02|4.69|
200909|0.91|4.2|
200908|1.05|4.83|
200907|0.91|4.17|
200906|1.06|4.87|
200905|0.99|4.56|
200904|1.24|5.25|
200903|1.39|6.2|
200902|1.12|5.18|
200901|1.15|5.31|
200812|1.08|4.98|
200811|1.02|4.69|
200810|1.18|5.43|
200809|0.97|4.47|
200808|0.99|4.56|
200807|0.99|4.56|
200806|1.15|5.27|
200805|1.08|4.98|
200804|1.11|5.1|
200803|1.17|5.37|
200802|1.12|5.18|
200801|1.18|5.43|
200712|1.31|6.03|
200711|1.37|6.3|
200710|1.03|4.75|
200709|0.88|4.06|
200708|0.8|3.66|
200707|0.58|2.66|
200706|1.02|4.68|
200705|1.54|7.11|
200704|1.3|5.98|
200703|1.34|6.17|
200702|1.09|5.02|
200701|0.88|4.04|
200612|1.08|4.96|
200611|1.16|5.33|
200610|1.18|5.45|
200609|1.04|4.8|
200608|1.13|5.19|
200607|1.0|4.62|
200606|1.03|4.75|
200605|1.36|6.27|
200604|1.12|5.18|
200603|1.1|5.07|
