AABRESTR|20190601|401|500|19,76|457,77
AABRESTR|20190601|501|9999999|27,36|457,77
ABBBXRIM|20190422|0|9999999|5,00|0,00
ABBCOMIM|20190422|0|9999999|5,00|0,00
ABBCPRIM|20190422|0|9999999|5,00|0,00
ABBINDIM|20190422|0|9999999|5,00|0,00
ABBPPBIM|20190422|0|9999999|5,00|0,00
ABBPPEIM|20190422|0|9999999|5,00|0,00
ABBPPFIM|20190422|0|9999999|5,00|0,00
ABBRESIM|20190422|0|9999999|5,00|0,00
ABBRURIM|20190422|0|9999999|5,00|0,00
ABBSPUIM|20190422|0|9999999|5,00|0,00
ACBBXRTR|20190422|0|30|0,69|428,14
ACBBXRTR|20190422|31|50|1,00|428,14
ACBBXRTR|20190422|51|100|2,07|428,14
ACBBXRTR|20190422|101|150|2,65|428,14
ACBBXRTR|20190422|151|200|3,32|428,14
ACBBXRTR|20190422|201|250|4,64|428,14
ACBBXRTR|20190422|251|300|9,29|428,14
ACBBXRTR|20190422|301|400|15,00|428,14
ACBBXRTR|20190422|401|500|30,00|428,14
ACBBXRTR|20190422|501|9999999|35,00|428,14
ACBBXRTR|20190501|0|30|0,69|439,61
ACBBXRTR|20190501|31|50|1,00|439,61
ACBBXRTR|20190501|51|100|2,07|439,61
ACBBXRTR|20190501|101|150|2,65|439,61
ACBBXRTR|20190501|151|200|3,32|439,61
ACBBXRTR|20190501|201|250|4,64|439,61
ACBBXRTR|20190501|251|300|9,29|439,61
ACBBXRTR|20190501|301|400|15,00|439,61
ACBBXRTR|20190501|401|500|30,00|439,61
ACBBXRTR|20190501|501|9999999|35,00|439,61
ACBBXRTR|20190601|0|30|0,69|419,63
ACBBXRTR|20190601|31|50|1,00|419,63
ACBBXRTR|20190601|51|100|2,07|419,63
ACBBXRTR|20190601|101|150|2,65|419,63
ACBBXRTR|20190601|151|200|3,32|419,63
ACBBXRTR|20190601|201|250|4,64|419,63
ACBBXRTR|20190601|251|300|9,29|419,63
ACBBXRTR|20190601|301|400|15,00|419,63
ACBBXRTR|20190601|401|500|30,00|419,63
ACBBXRTR|20190601|501|9999999|35,00|419,63
ACBCOMTR|20190422|0|30|1,33|428,14
ACBCOMTR|20190422|31|50|1,99|428,14
ACBCOMTR|20190422|51|100|2,65|428,14
ACBCOMTR|20190422|101|150|3,32|428,14
ACBCOMTR|20190422|151|200|7,50|428,14
ACBCOMTR|20190422|201|250|10,00|428,14
ACBCOMTR|20190422|251|300|13,00|428,14
ACBCOMTR|20190422|301|400|20,00|428,14
ACBCOMTR|20190422|401|500|25,00|428,14
ACBCOMTR|20190422|501|9999999|35,00|428,14
ACBCOMTR|20190501|0|30|1,33|439,61
ACBCOMTR|20190501|31|50|1,99|439,61
ACBCOMTR|20190501|51|100|2,65|439,61
ACBCOMTR|20190501|101|150|3,32|439,61
ACBCOMTR|20190501|151|200|7,50|439,61
ACBCOMTR|20190501|201|250|10,00|439,61
ACBCOMTR|20190501|251|300|13,00|439,61
ACBCOMTR|20190501|301|400|20,00|439,61
ACBCOMTR|20190501|401|500|25,00|439,61
ACBCOMTR|20190501|501|9999999|35,00|439,61
ACBCOMTR|20190601|0|30|1,33|419,63
ACBCOMTR|20190601|31|50|1,99|419,63
ACBCOMTR|20190601|51|100|2,65|419,63
ACBCOMTR|20190601|101|150|3,32|419,63
ACBCOMTR|20190601|151|200|7,50|419,63
ACBCOMTR|20190601|201|250|10,00|419,63
ACBCOMTR|20190601|251|300|13,00|419,63
ACBCOMTR|20190601|301|400|20,00|419,63
ACBCOMTR|20190601|401|500|25,00|419,63
ACBCOMTR|20190601|501|9999999|35,00|419,63
ACBINDTR|20190422|0|30|1,33|428,14
ACBINDTR|20190422|31|50|1,99|428,14
ACBINDTR|20190422|51|100|2,65|428,14
ACBINDTR|20190422|101|150|3,32|428,14
ACBINDTR|20190422|151|200|7,50|428,14
ACBINDTR|20190422|201|250|10,00|428,14
ACBINDTR|20190422|251|300|13,00|428,14
ACBINDTR|20190422|301|400|20,00|428,14
ACBINDTR|20190422|401|500|25,00|428,14
ACBINDTR|20190422|501|9999999|35,00|428,14
ACBINDTR|20190501|0|30|1,33|439,61
ACBINDTR|20190501|31|50|1,99|439,61
ACBINDTR|20190501|51|100|2,65|439,61
ACBINDTR|20190501|101|150|3,32|439,61
ACBINDTR|20190501|151|200|7,50|439,61
ACBINDTR|20190501|201|250|10,00|439,61
ACBINDTR|20190501|251|300|13,00|439,61
ACBINDTR|20190501|301|400|20,00|439,61
ACBINDTR|20190501|401|500|25,00|439,61
ACBINDTR|20190501|501|9999999|35,00|439,61
ACBINDTR|20190601|0|30|1,33|419,63
ACBINDTR|20190601|31|50|1,99|419,63
ACBINDTR|20190601|51|100|2,65|419,63
ACBINDTR|20190601|101|150|3,32|419,63
ACBINDTR|20190601|151|200|7,50|419,63
ACBINDTR|20190601|201|250|10,00|419,63
ACBINDTR|20190601|251|300|13,00|419,63
ACBINDTR|20190601|301|400|20,00|419,63
ACBINDTR|20190601|401|500|25,00|419,63
ACBINDTR|20190601|501|9999999|35,00|419,63
ACBRESTR|20190422|0|30|0,69|428,14
ACBRESTR|20190422|31|50|1,00|428,14
ACBRESTR|20190422|51|100|2,07|428,14
ACBRESTR|20190422|101|150|2,65|428,14
ACBRESTR|20190422|151|200|3,32|428,14
ACBRESTR|20190422|201|250|4,64|428,14
ACBRESTR|20190422|251|300|9,29|428,14
ACBRESTR|20190422|301|400|15,00|428,14
ACBRESTR|20190422|401|500|30,00|428,14
ACBRESTR|20190422|501|9999999|35,00|428,14
ACBRESTR|20190501|0|30|0,69|439,61
ACBRESTR|20190501|31|50|1,00|439,61
ACBRESTR|20190501|51|100|2,07|439,61
ACBRESTR|20190501|101|150|2,65|439,61
ACBRESTR|20190501|151|200|3,32|439,61
ACBRESTR|20190501|201|250|4,64|439,61
ACBRESTR|20190501|251|300|9,29|439,61
ACBRESTR|20190501|301|400|15,00|439,61
ACBRESTR|20190501|401|500|30,00|439,61
ACBRESTR|20190501|501|9999999|35,00|439,61
ACBRESTR|20190601|0|30|0,69|419,63
ACBRESTR|20190601|31|50|1,00|419,63
ACBRESTR|20190601|51|100|2,07|419,63
ACBRESTR|20190601|101|150|2,65|419,63
ACBRESTR|20190601|151|200|3,32|419,63
ACBRESTR|20190601|201|250|4,64|419,63
ACBRESTR|20190601|251|300|9,29|419,63
ACBRESTR|20190601|301|400|15,00|419,63
ACBRESTR|20190601|401|500|30,00|419,63
ACBRESTR|20190601|501|9999999|35,00|419,63
ADBBXRTR|20190422|0|30|1,00|428,14
ADBBXRTR|20190422|31|50|1,50|428,14
ADBBXRTR|20190422|51|100|3,00|428,14
ADBBXRTR|20190422|101|150|5,00|428,14
ADBBXRTR|20190422|151|200|8,00|428,14
ADBBXRTR|20190422|201|250|9,00|428,14
ADBBXRTR|20190422|251|300|12,00|428,14
ADBBXRTR|20190422|301|400|15,00|428,14
ADBBXRTR|20190422|401|450|18,00|428,14
ADBBXRTR|20190422|451|500|20,00|428,14
ADBBXRTR|20190422|501|1000|28,00|428,14
ADBBXRTR|20190422|1001|9999999|35,00|428,14
ADBBXRTR|20190501|0|30|1,00|439,61
ADBBXRTR|20190501|31|50|1,50|439,61
ADBBXRTR|20190501|51|100|3,00|439,61
ADBBXRTR|20190501|101|150|5,00|439,61
ADBBXRTR|20190501|151|200|8,00|439,61
ADBBXRTR|20190501|201|250|9,00|439,61
ADBBXRTR|20190501|251|300|12,00|439,61
ADBBXRTR|20190501|301|400|15,00|439,61
ADBBXRTR|20190501|401|450|18,00|439,61
ADBBXRTR|20190501|451|500|20,00|439,61
ADBBXRTR|20190501|501|1000|28,00|439,61
ADBBXRTR|20190501|1001|9999999|35,00|439,61
ADBBXRTR|20190601|0|30|1,00|419,63
ADBBXRTR|20190601|31|50|1,50|419,63
ADBBXRTR|20190601|51|100|3,00|419,63
ADBBXRTR|20190601|101|150|5,00|419,63
ADBBXRTR|20190601|151|200|8,00|419,63
ADBBXRTR|20190601|201|250|9,00|419,63
ADBBXRTR|20190601|251|300|12,00|419,63
ADBBXRTR|20190601|301|400|15,00|419,63
ADBBXRTR|20190601|401|450|18,00|419,63
ADBBXRTR|20190601|451|500|20,00|419,63
ADBBXRTR|20190601|501|1000|28,00|419,63
ADBBXRTR|20190601|1001|9999999|35,00|419,63
ADBCOMTR|20190422|0|30|2,50|428,14
ADBCOMTR|20190422|31|50|3,00|428,14
ADBCOMTR|20190422|51|100|4,00|428,14
ADBCOMTR|20190422|101|150|6,00|428,14
ADBCOMTR|20190422|151|200|10,00|428,14
ADBCOMTR|20190422|201|300|12,00|428,14
ADBCOMTR|20190422|301|500|20,00|428,14
ADBCOMTR|20190422|501|1000|28,00|428,14
