202201|0,47|2,14|
202112|0,62|2,78|
202111|0,70|3,22|
202110|0,79|3,70|
202108|0,76|3,45|
202107|0,90|4,12|
202004|0,00|0,00|
202003|1,16|5,30|
202002|1,20|5,53|
202001|0,41|1,78|
201912|0,49|2,24|
201911|0,04|0,30|
201910|0.03|0.14|
201909|0.81|3.69|
201908|1.35|6.16|
201907|0.62|2.86|
201906|0.64|2.96|
201905|0.81|3.67|
201904|0.88|4.1|
201903|0.61|2.84|
201902|0.98|4.93|
201901|0.91|4.17|
201812|0.44|0.72|
201811|1.05|4.84|
201810|1.29|6.59|
201809|0.42|1.91|
201808|0.51|2.3|
201807|1.04|4.78|
201806|0.69|3.2|
201805|0.74|3.39|
201804|1.08|4.94|
201803|0.79|3.64|
201802|0.68|3.14|
201801|1.0|4.57|
201712|0.95|4.37|
201711|0.64|2.93|
201710|0.9|4.1|
201709|1.07|4.92|
201708|0.68|3.14|
201707|0.78|3.61|
201706|1.26|5.77|
201705|1.17|5.36|
201704|1.15|5.32|
201703|1.22|5.63|
201702|1.14|5.24|
201701|1.15|5.27|
201612|1.14|5.24|
201611|1.07|4.92|
201610|1.22|5.59|
201609|0.95|4.35|
201608|0.61|2.77|
201607|0.92|4.26|
201606|1.06|4.88|
201605|0.95|4.33|
201604|1.04|4.8|
201603|0.66|3.04|
201602|0.85|3.89|
201601|0.95|4.37|
201512|0.53|2.41|
201511|0.9|4.13|
201510|0.97|4.45|
201509|0.91|4.17|
201508|0.9|4.15|
201507|1.08|4.97|
201506|0.83|3.81|
201505|1.49|6.82|
201504|1.06|4.88|
201503|1.16|5.37|
201502|0.6|2.77|
201501|0.18|0.81|
201412|0.26|1.18|
201411|0.87|4.02|
201410|1.98|9.1|
201409|0.26|1.16|
201408|0.06|0.26|
201407|0.39|1.82|
201406|1.16|5.37|
201405|0.87|3.98|
201404|0.0|0.0|
201403|0.77|3.49|
201402|0.62|2.89|
201401|0.3|1.4|
201312|0.57|2.57|
201311|1.01|4.62|
201310|0.79|3.68|
201309|0.2|0.94|
201308|0.6|2.72|
201307|1.39|6.37|
201306|0.96|4.44|
201305|1.12|5.16|
201304|0.0|0.0|
201303|0.53|2.43|
201302|0.78|3.59|
201301|0.78|3.58|
201212|0.95|4.36|
201211|0.7|3.19|
201210|0.71|3.29|
201209|0.94|4.34|
201208|0.91|4.14|
201207|0.6|2.71|
201206|0.49|2.31|
201205|1.33|6.17|
201204|1.24|5.64|
201203|0.77|3.51|
201202|0.6|2.83|
201201|0.2|0.95|
201112|0.97|4.4|
201111|1.05|4.78|
201110|0.89|4.14|
201109|0.8|3.71|
201108|0.95|4.33|
201107|0.94|4.29|
201106|0.86|4.01|
201105|0.98|4.53|
201104|1.01|4.59|
201103|0.97|4.42|
201102|0.92|4.26|
201101|1.05|4.86|
201012|1.02|4.67|
201011|0.98|4.46|
201010|1.1|5.02|
201009|1.06|4.89|
201008|1.0|4.53|
201007|1.1|5.08|
201006|0.92|4.18|
201005|1.03|4.67|
201004|1.16|5.35|
201003|0.99|4.57|
201002|0.99|4.51|
201001|0.93|4.26|
200912|0.89|4.11|
200911|0.78|3.57|
200910|0.83|3.79|
200909|0.86|3.97|
200908|0.75|3.42|
200907|0.87|3.98|
200906|0.78|3.57|
200905|1.05|4.77|
200904|0.87|4.1|
200903|0.93|4.29|
200902|0.62|3.38|
200901|0.99|4.53|
200812|0.88|4.01|
200811|0.98|4.47|
200810|0.9|4.15|
200809|0.94|4.31|
200808|0.83|3.8|
200807|0.85|3.9|
200806|0.82|3.76|
200805|1.02|4.66|
200804|0.88|4.02|
200803|0.99|4.55|
200802|0.9|4.11|
200801|0.93|4.29|
200712|0.9|4.13|
200711|0.96|4.4|
200710|0.89|4.1|
200709|0.97|4.42|
200708|0.95|4.39|
200707|0.99|4.56|
200706|0.87|4.24|
200705|1.12|5.12|
200704|0.98|4.48|
200703|1.1|5.03|
200702|1.06|4.85|
200701|1.0|4.57|
200612|0.95|4.38|
200611|1.04|4.78|
200610|1.04|4.74|
200609|0.97|4.39|
200608|0.98|4.48|
200607|0.97|4.45|
200606|0.91|4.19|
200605|1.12|5.12|
200604|1.09|4.99|
200603|0.99|4.53|
200602|0.95|4.37|
200601|0.89|4.07|
200512|1.02|4.68|
200511|0.77|3.54|
200510|0.77|3.53|
200509|0.76|3.5|
